transaction_id,sender_id,receiver_id,amount,timestamp
tx001,acc001,acc002,5000.00,2024-01-01T10:00:00Z
tx002,acc002,acc003,4900.00,2024-01-01T11:00:00Z
tx003,acc003,acc001,4800.00,2024-01-01T12:00:00Z
tx004,acc004,acc005,3000.00,2024-01-01T13:00:00Z
tx005,acc004,acc006,2900.00,2024-01-01T13:30:00Z
tx006,acc004,acc007,2800.00,2024-01-01T14:00:00Z
tx007,acc004,acc008,2700.00,2024-01-01T14:30:00Z
tx008,acc004,acc009,2600.00,2024-01-01T15:00:00Z
tx009,acc010,acc011,15000.00,2024-01-02T10:00:00Z
tx010,acc011,acc012,14500.00,2024-01-02T10:30:00Z
tx011,acc012,acc013,14000.00,2024-01-02T11:00:00Z
tx012,acc013,acc010,13500.00,2024-01-02T11:30:00Z
tx013,acc014,acc015,8000.00,2024-01-03T09:00:00Z
tx014,acc015,acc016,7900.00,2024-01-03T09:15:00Z
tx015,acc016,acc017,7800.00,2024-01-03T09:30:00Z
tx016,acc017,acc014,7700.00,2024-01-03T09:45:00Z
